D00210.001,D00120.001
0.309901,1.251967
0.031425,1.987937
4.686955,1.160627
0.310327,1.169773
0.345404,2.090126
0.453215,1.844149
0.976658,1.397499
5.320311,2.422314
0.597826,2.358983
4.759865,2.143009
0.207844,0.765136
0.294352,1.305649
-0.059054,0.463261
-0.108387,0.432098
0.188546,0.725724
0.667138,2.155066
0.496445,2.199269
2.457463,0.808439
0.261648,1.202068
2.115815,3.206512
4.867952,1.517749
6.081502,1.342016
6.061452,1.784973
0.279969,1.099976
0.590755,1.574742
1.680612,1.603758
1.150870,1.754529
0.050975,1.631329
1.056299,2.725477
1.240915,2.018345
0.200243,2.442780
0.647325,1.306705
5.549241,0.668804
0.637795,0.776059
3.991814,1.446241
2.101761,1.973175
6.539174,3.310460
1.498379,2.537332
0.163996,3.078267
-0.081670,1.029756
1.198585,2.050948
1.604789,1.198433
0.227363,0.522595
0.182046,1.459847
2.575244,2.047884
-0.024336,2.572453
0.125103,2.535477
1.008248,1.611591
0.668687,1.413789
0.386867,2.197296
4.941580,1.752032
0.201864,1.085252
2.316551,1.036187
1.599074,1.507122
0.110214,1.382839
6.430002,0.710032
1.084038,1.654404
2.078038,1.618741
1.561711,3.683278
7.306813,1.293715
1.695572,1.325395
1.423473,1.386341
0.168135,0.701701
0.375800,1.213081
-0.002172,0.622855
2.086349,2.013267
3.711478,1.510103
4.558046,3.962743
0.062350,0.617450
7.492260,0.574667
0.050092,0.762800
2.265838,1.484226
4.192415,0.976722
5.294411,0.970383
1.269485,1.233451
3.984813,0.937232
0.130408,2.029706
3.260930,2.355932
4.654086,0.995081
3.885303,1.269019
3.744989,1.581961
0.194731,2.112828
0.554255,0.973255
7.450716,2.867968
1.952780,1.450323
1.482324,1.676222
1.005247,0.451194
2.013945,0.828188
0.177959,2.374111
4.588727,1.441199
-0.058172,1.115316
1.665178,1.863507
2.315375,1.068919
2.388075,1.718090
2.072901,2.558214
0.973661,1.784524
0.265580,1.773874
4.345420,1.867766
0.018615,1.503659
2.278816,1.118244
5.770123,2.018601
0.136407,2.085786
5.476842,3.084555
0.139120,1.039126
0.545497,2.837716
4.457850,1.692434
1.554543,1.235465
0.343477,2.639852
0.125178,2.544770
0.335690,1.952024
0.013167,1.132966
1.835571,3.552158
1.386211,0.162865
0.270103,1.536101
0.770814,2.335536
0.645012,0.315353
0.162863,0.596705
1.411717,1.375270
1.635223,0.412137
-0.045445,1.326240
0.110255,1.569995
2.920866,2.035153
1.326836,2.174816
0.311364,1.297949
0.339705,1.966217
3.944999,3.633099
4.494020,2.419181
1.802109,0.771641
0.567559,1.266213
0.056024,0.693689
6.205539,1.551983
0.690575,1.205428
0.510830,0.863222
0.953356,3.089722
0.563357,1.093044
1.190940,0.932753
1.224836,2.819936
0.141630,2.345854
0.974352,1.881113
0.002461,2.313496
0.622115,1.122237
0.225738,0.862562
0.417553,0.865912
4.922748,1.345073
2.930545,2.419397
0.748019,1.971876
1.451266,2.458138
5.266183,0.349056
0.856795,1.196556
0.325827,1.543169
-0.095570,1.722035
-0.080556,1.165361
2.736321,1.011301
0.528988,1.064543
1.089711,2.158500
4.197191,2.473295
5.658299,1.125898
1.182561,2.025969
0.215162,2.022892
0.330738,1.679033
2.121808,2.804747
0.164380,1.471299
0.066111,1.472634
5.597997,0.783697
0.027110,1.036696
0.708138,2.001273
0.213453,1.256937
0.321166,2.823036
1.072024,1.407227
0.338721,0.972474
0.026553,1.243861
0.429141,1.459850
4.983543,2.643153
0.538460,2.187446
5.042288,1.761681
1.819442,1.688694
0.349252,1.085834
0.429605,1.305881
-0.015468,1.253746
0.014336,0.382961
1.037599,1.222623
5.124824,1.572070
0.234025,1.492508
0.785126,1.622952
3.611145,1.576908
0.035259,1.369170
0.002798,0.962484
0.369535,2.602467
0.157724,3.083665
0.816188,1.364582
0.807346,0.840758
0.542933,0.582206
0.002340,1.260633
0.302129,1.254097
0.223871,1.262980
0.474600,0.656946
0.338218,1.983345
1.143980,0.728332
-0.008297,1.951738
-0.048275,1.332268
4.457208,2.332408
0.203916,1.314850
0.178141,0.872132
1.848378,0.676257
0.243907,1.463574
0.721138,2.198395
6.889299,1.871702
-0.022791,1.579914
0.942343,1.670345
0.444611,0.977159
6.034471,1.687423
0.723059,3.609102
1.594833,1.320233
0.166798,2.075505
0.423718,1.212770
0.446079,0.553510
0.731054,1.131838
1.076426,1.759050
0.212784,1.688403
0.188992,1.627510
0.032018,1.110375
0.309830,1.026195
0.162684,1.087035
0.008577,0.299968
0.554892,1.605509
5.626256,1.740643
4.829752,1.886613
1.175512,1.590100
0.331301,1.049889
4.864418,3.474567
0.142178,0.503409
3.373123,2.417948
0.055549,1.049520
0.371004,1.705721
0.167233,1.428234
0.126695,0.911187
0.435781,1.682003
2.773619,2.475624
4.665610,1.997778
5.074062,0.334050
0.205965,1.162377
0.437804,1.539028
-0.023306,1.449450
2.118983,1.456470
0.444957,1.003567
-0.011354,2.229790
0.158332,0.630082
0.921116,0.415862
0.684446,2.517130
1.325305,0.863331
4.241010,0.392935
0.047580,0.938877
0.094492,0.759718
3.787073,1.271147
0.424761,0.918971
1.940502,0.985239
0.192235,0.757064
0.069114,1.634771
0.048801,0.500357
5.763980,1.347888
0.152792,0.986223
7.930574,2.693882
-0.091421,1.299411
0.283746,3.714258
-0.058191,1.422146
4.304879,0.907901
4.827001,1.323093
0.058561,1.503065
0.758768,0.473621
-0.002086,1.936579
5.974547,2.061184
0.645849,3.829285
0.582385,0.916636
0.823762,1.485432
0.512639,0.778872
0.465375,3.070265
1.432751,1.345353
2.768296,1.069543
5.612367,4.197157
4.272490,1.832343
0.370851,1.927603
3.504428,1.486071
0.000659,1.835135
0.525462,1.313364
0.372150,0.875340
0.383573,1.343863
0.499974,1.513002
5.136163,2.846946
1.635333,1.281445
0.599071,0.981589
0.879394,2.647791
0.193223,0.925571
5.838378,2.143354
2.359517,0.938542
1.084891,1.573874
1.255036,0.446535
4.957411,1.690822
5.165213,1.325975
-0.009348,1.822269
5.824202,1.138821
0.288012,0.817787
0.799273,0.778061
0.672183,1.083798
1.060900,2.794357
0.447927,2.016493
5.005863,3.655167
0.440202,1.897062
